,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID,email,gender,dob.age
115,King,Seattle,98101,2018,PORSCHE,CAYENNE,14,43.0,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,serenity.fox@example.com,serenity.fox@example.com,female,40
116,Clark,Vancouver,98683,2015,CHEVROLET,VOLT,38,18.0,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,michael.walker@example.com,michael.walker@example.com,male,44
117,Clark,Vancouver,98683,2015,CHEVROLET,VOLT,38,18.0,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,michael.walker@example.com,michael.walker@example.com,male,47
118,Yakima,Moxee,98936,2020,CHEVROLET,BOLT EV,259,15.0,POINT (-120.39197 46.55621),PACIFICORP,BEV,Y,High,zuzanna.anwar@example.com,zuzanna.anwar@example.com,female,49
119,Spokane,Spokane,99224,2019,TOYOTA,PRIUS PRIME,25,6.0,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,ellie.ranheim@example.com,ellie.ranheim@example.com,female,48
120,Cowlitz,Castle Rock,98611,2021,CHRYSLER,PACIFICA,32,19.0,POINT (-122.90724 46.27509),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,PHEV,Y,Low,ines.vargas@example.com,ines.vargas@example.com,female,48
121,Pierce,Lake Tapps,98391,2014,TOYOTA,RAV4,103,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,noelia.ramirez@example.com,noelia.ramirez@example.com,female,46
122,Snohomish,Lynnwood,98036,2015,CHEVROLET,SPARK,82,32.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,BEV,Y,Low,ida.adam@example.com,ida.adam@example.com,female,76
123,Snohomish,Stanwood,98292,2017,PORSCHE,CAYENNE,14,10.0,POINT (-122.37265 48.24159),PUGET SOUND ENERGY INC,PHEV,N,Low,suzana.andelic@example.com,suzana.andelic@example.com,female,49
124,King,Mercer Island,98040,2021,LINCOLN,AVIATOR,21,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,tom.webb@example.com,tom.webb@example.com,male,28
125,Pierce,Spanaway,98387,2021,TOYOTA,RAV4 PRIME,42,28.0,POINT (-122.41046 47.06512),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,evan.laurent@example.com,evan.laurent@example.com,male,25
126,Clark,Vancouver,98664,2014,BMW,I3,72,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,liliane.dohring@example.com,liliane.dohring@example.com,female,39
127,King,Seattle,98178,2020,TESLA,MODEL Y,291,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,High,asher.singh@example.com,asher.singh@example.com,male,70
128,Spokane,Spokane,99218,2019,FORD,FUSION,26,7.0,POINT (-117.4077 47.74527),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,deepak.saldanha@example.com,deepak.saldanha@example.com,male,73
129,King,Renton,98056,2015,FORD,C-MAX,19,11.0,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,aarush.mendonsa@example.com,aarush.mendonsa@example.com,male,56
130,King,Auburn,98002,2014,CHEVROLET,VOLT,38,30.0,POINT (-122.21698 47.28317),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,alexej.conradi@example.com,alexej.conradi@example.com,male,72
131,King,Bothell,98011,2017,BMW,X5,14,1.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,simon.olsen@example.com,simon.olsen@example.com,male,26
132,Snohomish,Arlington,98223,2019,VOLKSWAGEN,E-GOLF,125,39.0,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,BEV,Y,Mid,ezio.philippe@example.com,ezio.philippe@example.com,male,53
133,King,Seattle,98107,2016,KIA,SOUL,93,43.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,samantha.osullivan@example.com,samantha.osullivan@example.com,female,50
134,Chelan,Leavenworth,98826,2014,NISSAN,LEAF,84,12.0,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Low,melike.tanrikulu@example.com,melike.tanrikulu@example.com,female,69
135,Whatcom,Blaine,98230,2013,FORD,FUSION,19,42.0,POINT (-122.74888 48.99404),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,mia.elliott@example.com,mia.elliott@example.com,female,25
136,Whitman,Pullman,99163,2020,TESLA,MODEL Y,291,9.0,POINT (-117.18147 46.73015),AVISTA CORP,BEV,Y,High,rufino.soto@example.com,rufino.soto@example.com,male,70
137,King,Bellevue,98004,2018,CHEVROLET,VOLT,53,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,mila.martin@example.com,mila.martin@example.com,female,70
138,Pierce,Tacoma,98406,2015,FORD,FUSION,19,27.0,POINT (-122.52054 47.26887),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,florence.soto@example.com,florence.soto@example.com,female,29
139,King,Mercer Island,98040,2021,TOYOTA,PRIUS PRIME,25,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,reynaldo.chavarria@example.com,reynaldo.chavarria@example.com,male,24
140,Benton,Kennewick,99337,2020,CHEVROLET,BOLT EV,259,8.0,POINT (-119.141 46.19162),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,BEV,Y,High,carlota.daconceicao@example.com,carlota.daconceicao@example.com,female,38
141,King,Seatac,98158,2017,FORD,C-MAX,20,33.0,POINT (-122.30164 47.45775),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,todd.may@example.com,todd.may@example.com,male,52
142,Clark,Vancouver,98665,2019,TESLA,MODEL S,270,49.0,POINT (-122.64443 45.67871),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,rh.sdr@example.com,rh.sdr@example.com,female,47
143,King,Renton,98056,2019,CHEVROLET,BOLT EV,238,41.0,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,ali.alniacik@example.com,ali.alniacik@example.com,male,37
144,Okanogan,Tonasket,98855,2013,NISSAN,LEAF,75,7.0,POINT (-119.43683 48.70854),PUD NO 1 OF OKANOGAN COUNTY,BEV,Y,Low,ernest.zenker@example.com,ernest.zenker@example.com,male,51
145,King,Sammamish,98074,2012,TOYOTA,RAV4,103,45.0,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,sacramento.campos@example.com,sacramento.campos@example.com,male,45
146,King,Seattle,98146,2014,CHEVROLET,VOLT,38,34.0,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,kaya.kutlay@example.com,kaya.kutlay@example.com,male,47
147,King,Redmond,98072,2019,BMW,530E,15,45.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,hly.prs@example.com,hly.prs@example.com,female,40
148,Kitsap,Silverdale,98383,2011,CHEVROLET,VOLT,35,23.0,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,PHEV,Y,Low,sphr.sltnynjd@example.com,sphr.sltnynjd@example.com,male,65
149,Kitsap,Hansville,98340,2014,NISSAN,LEAF,84,23.0,POINT (-122.54758 47.91795),PUGET SOUND ENERGY INC,BEV,Y,Low,patrick.carr@example.com,patrick.carr@example.com,male,28
150,San Juan,Eastsound,98245,2018,FIAT,500,84,40.0,POINT (-122.91109 48.69389),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,BEV,Y,Low,aryan.moolya@example.com,aryan.moolya@example.com,male,70
151,Pierce,Spanaway,98387,2018,TESLA,MODEL X,238,2.0,POINT (-122.41046 47.06512),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,alissa.simon@example.com,alissa.simon@example.com,female,70
152,Spokane,Spokane,99204,2016,BMW,X5,14,3.0,POINT (-117.42571 47.64779),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,christ.speksnijder@example.com,christ.speksnijder@example.com,male,78
153,Jefferson,Nordland,98358,2018,NISSAN,LEAF,151,24.0,POINT (-122.69107 48.05105),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,BEV,Y,Mid,robin.gerard@example.com,robin.gerard@example.com,male,25
154,Walla Walla,Touchet,99360,2013,FORD,FUSION,19,16.0,POINT (-118.66919 46.04238),PACIFICORP,PHEV,N,Low,edward.bjorkmo@example.com,edward.bjorkmo@example.com,male,74
155,King,Seattle,98103,2017,SMART,FORTWO,58,43.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,ticiano.dias@example.com,ticiano.dias@example.com,male,50
156,King,Renton,98055,2012,NISSAN,LEAF,73,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,ayse.oymen@example.com,ayse.oymen@example.com,female,54
157,Yakima,Yakima,98908,2020,CHEVROLET,BOLT EV,259,15.0,POINT (-120.56916 46.58514),PACIFICORP,BEV,Y,High,denis.gotze@example.com,denis.gotze@example.com,male,55
158,Spokane,Nine Mile Falls,99026,2017,CHRYSLER,PACIFICA,33,7.0,POINT (-117.54392 47.77676),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,tr.rdyy@example.com,tr.rdyy@example.com,female,70
159,Kitsap,Bremerton,98310,2015,TESLA,MODEL S,208,23.0,POINT (-122.61624 47.57772),PUGET SOUND ENERGY INC,BEV,Y,Mid,christelle.legall@example.com,christelle.legall@example.com,female,28
160,Pierce,Fife,98424,2019,JAGUAR,I-PACE,234,25.0,POINT (-122.35686 47.23679),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,nieves.rojas@example.com,nieves.rojas@example.com,female,39
161,Pierce,Tacoma,98465,2012,TOYOTA,PRIUS PLUG-IN,6,28.0,POINT (-122.52886 47.24977),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,meral.bolatli@example.com,meral.bolatli@example.com,female,47
162,Grays Harbor,Aberdeen,98520,2018,TESLA,MODEL S,249,19.0,POINT (-123.81619 46.97606),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,BEV,Y,Mid,alex.delgado@example.com,alex.delgado@example.com,male,26
163,King,Shoreline,98177,2015,FORD,C-MAX,19,32.0,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,evelio.barros@example.com,evelio.barros@example.com,male,37
164,Spokane,Spokane,99205,2021,TOYOTA,PRIUS PRIME,25,3.0,POINT (-117.45674 47.69963),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,charlie.macdonald@example.com,charlie.macdonald@example.com,female,57
165,Pierce,Anderson Island,98303,2018,BMW,530E,14,28.0,POINT (-122.67876 47.17794),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,fatih.kaplangi@example.com,fatih.kaplangi@example.com,male,59
166,Kitsap,Port Orchard,98367,2018,TOYOTA,PRIUS PRIME,25,35.0,POINT (-122.65745 47.4916),PUGET SOUND ENERGY INC,PHEV,N,Low,julio.limon@example.com,julio.limon@example.com,male,64
167,King,Kent,98030,2019,CHEVROLET,BOLT EV,238,47.0,POINT (-122.19564 47.37271),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,radoje.teodosic@example.com,radoje.teodosic@example.com,male,54
168,King,Bothell,98011,2021,BMW,X3,17,1.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,aditya.das@example.com,aditya.das@example.com,male,71
169,Pierce,Orting,98360,2020,HONDA,CLARITY,47,2.0,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,vivian.schwan@example.com,vivian.schwan@example.com,female,74
170,Snohomish,Bothell,98021,2020,MITSUBISHI,OUTLANDER,22,1.0,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,PHEV,N,Low,chad.jenkins@example.com,chad.jenkins@example.com,male,65
171,Island,Camano Island,98282,2020,NISSAN,LEAF,215,10.0,POINT (-122.40049 48.23986),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,BEV,Y,Mid,jaxon.evans@example.com,jaxon.evans@example.com,male,73
172,Pierce,Orting,98360,2019,NISSAN,LEAF,150,2.0,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,gabriel.renard@example.com,gabriel.renard@example.com,male,36
173,Spokane,Spokane,99205,2022,BMW,330E,22,3.0,POINT (-117.45674 47.69963),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,stefan.dumont@example.com,stefan.dumont@example.com,male,51
174,Okanogan,Tonasket,98855,2012,TOYOTA,PRIUS PLUG-IN,6,7.0,POINT (-119.43683 48.70854),PUD NO 1 OF OKANOGAN COUNTY,PHEV,N,Low,dora.zivkovic@example.com,dora.zivkovic@example.com,female,65
175,Lewis,Randle,98377,2015,FORD,FUSION,19,20.0,POINT (-121.95585 46.53534),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,N,Low,raymond.bates@example.com,raymond.bates@example.com,male,57
176,Thurston,Olympia,98501,2022,HYUNDAI,SANTA FE,31,22.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,PHEV,Y,Low,drs.rdyy@example.com,drs.rdyy@example.com,female,74
177,King,Shoreline,98133,2015,TOYOTA,PRIUS PLUG-IN,6,32.0,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,teo.michel@example.com,teo.michel@example.com,male,52
178,Benton,Richland,99352,2019,MINI,COUNTRYMAN,12,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),PHEV,N,Low,xavier.rojas@example.com,xavier.rojas@example.com,male,37
179,Snohomish,Everett,98208,2012,CHEVROLET,VOLT,35,38.0,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,PHEV,Y,Low,rosi.hipp@example.com,rosi.hipp@example.com,female,31
180,Yakima,Zillah,98953,2015,FORD,C-MAX,19,15.0,POINT (-120.26186 46.40186),PACIFICORP,PHEV,N,Low,vladan.stojakovic@example.com,vladan.stojakovic@example.com,male,33
181,Kitsap,Bremerton,98312,2017,NISSAN,LEAF,107,35.0,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,BEV,Y,Mid,aubree.fortin@example.com,aubree.fortin@example.com,female,45
182,Pierce,South Hill,98373,2017,CHEVROLET,BOLT EV,238,25.0,POINT (-122.35051 47.15252),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,carla.vazquez@example.com,carla.vazquez@example.com,female,77
183,Pierce,Tacoma,98418,2015,FORD,C-MAX,19,27.0,POINT (-122.43874 47.22448),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,mhrs.mrdy@example.com,mhrs.mrdy@example.com,female,46
184,Pierce,Puyallup,98373,2019,TESLA,MODEL 3,220,25.0,POINT (-122.35051 47.15252),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,stanimira.shepitko@example.com,stanimira.shepitko@example.com,female,46
185,King,Seattle,98122,2017,MERCEDES-BENZ,B-CLASS,87,37.0,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,cynthia.iglesias@example.com,cynthia.iglesias@example.com,female,75
186,Spokane,Spokane,99204,2020,TESLA,MODEL X,293,3.0,POINT (-117.42571 47.64779),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,geert.waldmann@example.com,geert.waldmann@example.com,male,36
187,Snohomish,Lynnwood,98036,2019,SUBARU,CROSSTREK,17,1.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,PHEV,N,Low,helder.darosa@example.com,helder.darosa@example.com,female,43
188,King,Bellevue,98007,2018,NISSAN,LEAF,151,41.0,POINT (-122.12053 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,rusana.andrushko@example.com,rusana.andrushko@example.com,female,44
189,Lewis,Chehalis,98532,2022,JEEP,WRANGLER,21,20.0,POINT (-122.96462 46.6621),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,N,Low,ceyhan.tuzun@example.com,ceyhan.tuzun@example.com,female,39
190,Snohomish,Lake Stevens,98258,2012,FISKER,KARMA,33,44.0,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,PHEV,Y,Low,daksh.jain@example.com,daksh.jain@example.com,male,70
191,Douglas,East Wenatchee,98802,2017,CHEVROLET,BOLT EV,238,12.0,POINT (-120.29473 47.41515),PUD NO 1 OF DOUGLAS COUNTY,BEV,Y,Mid,ary.mrdy@example.com,ary.mrdy@example.com,male,66
192,Whatcom,Bellingham,98225,2019,VOLVO,XC60,17,42.0,POINT (-122.47122 48.75235),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,marius.petersen@example.com,marius.petersen@example.com,male,73
193,King,Sammamish,98029,2020,CHRYSLER,PACIFICA,32,5.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,ilian.bax@example.com,ilian.bax@example.com,male,48
194,Mason,Belfair,98528,2022,VOLVO,XC90,35,35.0,POINT (-122.82764 47.45054),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,Y,Low,snizhan.zhidenko@example.com,snizhan.zhidenko@example.com,male,46
195,Spokane,Cheney,99004,2022,JEEP,WRANGLER,21,6.0,POINT (-117.57445 47.48928),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,sandra.david@example.com,sandra.david@example.com,female,28
196,Pierce,Steilacoom,98388,2021,BMW,X3,17,28.0,POINT (-122.59802 47.17303),BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,annelie.voss@example.com,annelie.voss@example.com,female,65
197,Snohomish,Snohomish,98296,2017,BMW,I3,97,44.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,PHEV,Y,Low,oriyana.tichina@example.com,oriyana.tichina@example.com,female,57
198,Thurston,Yelm,98597,2017,BMW,I3,81,2.0,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,BEV,Y,Low,julian.roche@example.com,julian.roche@example.com,male,59
199,Clark,Vancouver,98683,2014,BMW,I3,72,17.0,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,renee.guerin@example.com,renee.guerin@example.com,female,62
200,Mason,Elma,98541,2017,SMART,FORTWO,58,35.0,POINT (-123.40382 47.00379),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,BEV,Y,Low,adryn.rdyyn@example.com,adryn.rdyyn@example.com,female,67
201,Island,Langley,98260,2014,CHEVROLET,SPARK,82,10.0,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,BEV,Y,Low,ruben.obrien@example.com,ruben.obrien@example.com,male,46
202,Pierce,Tacoma,98403,2021,AUDI,E-TRON,222,27.0,POINT (-122.45691 47.26496),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,elsbeth.huck@example.com,elsbeth.huck@example.com,female,65
203,King,Kent,98042,2018,VOLVO,XC60,17,47.0,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,cecilia.guerrero@example.com,cecilia.guerrero@example.com,female,50
204,Thurston,Olympia,98513,2021,AUDI,Q5 E,18,2.0,POINT (-122.80277 46.99409),PUGET SOUND ENERGY INC,PHEV,N,Low,suzana.urosevic@example.com,suzana.urosevic@example.com,female,74
205,Kitsap,Suquamish,98392,2017,FIAT,500,84,23.0,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,BEV,Y,Low,don.simmons@example.com,don.simmons@example.com,male,47
206,Walla Walla,Walla Walla,99362,2019,TESLA,MODEL 3,220,16.0,POINT (-118.34261 46.07068),PACIFICORP,BEV,Y,Mid,solange.guillot@example.com,solange.guillot@example.com,female,61
207,Snohomish,Granite Falls,98252,2020,TESLA,MODEL 3,308,39.0,POINT (-121.96931 48.08157),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,BEV,Y,High,johanne.peitz@example.com,johanne.peitz@example.com,female,60
208,Spokane,Spokane,99201,2019,NISSAN,LEAF,150,3.0,POINT (-117.41162 47.65726),MODERN ELECTRIC WATER COMPANY,BEV,Y,Mid,antwan.savelberg@example.com,antwan.savelberg@example.com,male,47
209,Kitsap,Bainbridge Island,98110,2014,MERCEDES-BENZ,B-CLASS,87,23.0,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,BEV,Y,Low,john.roberts@example.com,john.roberts@example.com,male,44
210,King,Kirkland,98033,2018,KIA,SOUL EV,111,48.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,rdyn.mwswy@example.com,rdyn.mwswy@example.com,male,58
211,King,Preston,98027,2015,FORD,C-MAX,19,5.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,andrin.chevalier@example.com,andrin.chevalier@example.com,male,54
212,King,Hunts Point,98004,2016,VOLVO,XC90,13,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,monica.paez@example.com,monica.paez@example.com,female,32
213,Kitsap,Hansville,98340,2015,BMW,I3,72,23.0,POINT (-122.54758 47.91795),PUGET SOUND ENERGY INC,PHEV,Y,Low,rusana.shamray@example.com,rusana.shamray@example.com,female,78
214,King,Tukwila,98168,2018,FORD,FUSION,21,11.0,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,camille.anderson@example.com,camille.anderson@example.com,female,24
215,Kitsap,Bainbridge Island,98110,2020,PORSCHE,TAYCAN,203,23.0,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,BEV,Y,Mid,ayse.koc@example.com,ayse.koc@example.com,female,58
216,Skagit,Anacortes,98221,2014,TOYOTA,PRIUS PLUG-IN,6,40.0,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,PHEV,N,Low,luzio.dasneves@example.com,luzio.dasneves@example.com,male,56
217,Snohomish,Lynnwood,98087,2017,FORD,C-MAX,20,21.0,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,PHEV,N,Low,ekaterina.michel@example.com,ekaterina.michel@example.com,female,40
218,Pierce,Gig Harbor,98335,2018,BMW,X5,13,26.0,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,seth.woods@example.com,seth.woods@example.com,male,77
219,Thurston,Tumwater,98501,2020,HONDA,CLARITY,47,22.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,PHEV,Y,Low,raymond.spencer@example.com,raymond.spencer@example.com,male,26
220,King,Renton,98059,2022,JEEP,WRANGLER,22,5.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,arthur.brown@example.com,arthur.brown@example.com,male,71
221,Clark,Ridgefield,98642,2016,BMW,I3,72,18.0,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,cristal.tafoya@example.com,cristal.tafoya@example.com,female,33
222,King,North Bend,98045,2021,TOYOTA,PRIUS PRIME,25,5.0,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mathilde.nielsen@example.com,mathilde.nielsen@example.com,female,38
223,Snohomish,Arlington,98223,2014,CHEVROLET,VOLT,38,10.0,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,PHEV,Y,Low,detlev.krull@example.com,detlev.krull@example.com,male,49
224,King,Kirkland,98033,2018,BMW,330E,14,45.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,francisco.fernandez@example.com,francisco.fernandez@example.com,male,23
225,King,Redmond,98052,2022,TOYOTA,PRIUS PRIME,25,45.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,marie.mercier@example.com,marie.mercier@example.com,female,57
226,King,Sammamish,98075,2020,AUDI,Q5 E,20,41.0,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,nihal.eksioglu@example.com,nihal.eksioglu@example.com,male,72
227,Snohomish,Mountlake Terrace,98043,2016,BMW,I3,72,32.0,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,PHEV,Y,Low,olive.harris@example.com,olive.harris@example.com,female,74
